X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
college,だいがく,this one,これ,movie,えいが - 映画,game,ゲーム,food,たべもの - 食べ物,kanji; Chinese character,か ん じ - 漢字,family,かぞく - 家族,sunny weather,はれ - 晴れ,word; vocabulary,たんご - 単語 ,season,きせつ - 季節
major,せんこう,that one,それ,music,おんがく - 音楽,part-time job,アルバイト,drink,のみもの - 飲み物,textbook,きょうかしょ - 教科書   ,grandfather; old man,おじいさん,rain,あめ - 雨,essay; composition,さくぶん - 作文,spring,はる - 春
teacher/professor,せんせい,that one (over there),あれ,magazine,ざっし - 雑誌,shopping,かいもの - 買い物,fruit,くだもの - 果物,page,ページ,grandmother; old woman,おばあさん,cloudy weather,くもり - 曇り,exam,しけん - 試験,fall; autumn,あき - 秋
high-school,こうこう,which one,どれ,sports,スポーツ,class,クラス,holiday; day off; absence,やすみ - 休み,next,つぎ - 次 ,older brother,おにいさん - お兄さん,snow,ゆき - 雪,letter,てがみ - 手紙,cow,うし - 牛
student,がくせい,this...,この,date (romantic - not calendar),デート,dog,いぬ - 犬,travel,りょこう - 旅行,money,おかね - お金,older sister,おねえさん - お姉さん,weather forecast,てんきよほう - 天気予報,e-mail,メール,milk,ぎゅうにゅう - 牛乳
college student,だいがくせい,that...,その,tennis,テニス,cat,ねこ - 猫,sea,うみ - 海,baggage,にもつ - 荷物,(my) father,父 - ちち,temperature (for weather),きおん - 気温,guitar,ギター,cake,ケーキ
international student,りゅうがくせい,that...(over there),あの,TV,テレビ,person,ひと - 人,surfing,サーフィン,personal computer,パソコン,(my) mother,母 - はは,summer,なつ - 夏,piano,ピアノ,sushi,すし
...year student,~ねんせい,which...,どの,ice cream,アイスクリーム,child,こども - 子供,souvenir,おみやげ,shower,シャワー,(my) older brother,兄 - あに,winter,ふゆ - 冬,concert,コンサート,tempura,てんぷら - 天ぷら
first year student,いちねんせい,here,ここ,hamburger,ハンバーガー,you,あなた,bus,バス,air conditioner,エアコン,(my) older sister,姉 - あね,this morning,けさ - 今朝,ticket,チケット,apple,りんご
I,わたし-私,there,そこ,sake; alcoholic drink,おさけ,chair,いす - 椅子,weather,てんき - 天気,electricity; light,でんき - 電気,younger sister,妹 -  いもうと,the day after tomorrow,おさって,Kabuki; traditional Japanese theatrical art,かぶき - 歌舞伎,cooking; cuisine,りょうり - 料理
friend,ともだち,over there,あそこ,green tea,おちゃ,desk,つくえ - 机,homework,しゅくだい - 宿題,window,まど - 窓,younger brother,弟 - おとうと,every week,まいしゅう - 毎週,ski,スキー,soccer,サッカー
Mr./Mrs...,~さん,where,どこ,coffee,コーヒー,picture; photograph,しゃしん - 写真,test,テスト,train,でんしゃ - 電車,brothers and sisters,兄弟 - きょうだい,this month,こんげつ - 今月,boxed lunch,おべんとう - お弁当,baseball,やきゅう - 野球
...people,~じん,who,だれ,water,みず - 水,flower,はな - 花,birthday,たんじょうび - 誕生日,country; place of origin,くに - 国,man,男の人 - おとこのひと,next month,らいげつ - 来月,pizza,ピザ,doctor,いしゃ - 医者
Japanese people,にほんじん,delicious,おいしい,breakfast,あさごはん - 朝ご飯,(term) paper,レポート,room,へや - 部屋,this week,こんしゅう - 今週,woman,女の人 - おんなのひと,office worker,かいしゃいん - 会社員,illness; sickness,びょうき - 病気,rich person,おかねもち - お金持ち
now,いま,fish,さかな,lunch,ひるごはん - 昼ご飯,rice; meal,ごはん - ご飯,I (used by men),ぼく/ おれ - 僕 / 俺,next week,らいしゅう - 来週,company,かいしゃ - 会社,job; work; occupation,しごと - 仕事,medicine,くすり - 薬,celebrity,ゆうめいじん - 有名人
A.M,ごぜん,pork cutlet,とんかつ,dinner,ばんごはん - 晩御飯,bread,パン,size L,L サイズ,next year,らいねん - 来年,cafeteria; dining commons (japanese),食堂 - しょくどう,camera,カメラ,good child,いいこ - いい子,face,かお - 顔
P.M,ごご,meat,にく,home; house,いえ - 家,temple,おてら,new,あたらしい - 新しい,night,よる - 夜,department store,デパート,karaoke,からオケ - 空オケ,color,いろ - 色,someone older,としうえ - 年上
o'clock,~じ,menu,メニュー,home; house; my place,うち,park,こうえん - 公園,old (thing),ふるい - 古い,tough (situation),たいへん(な) - 大変,hair,髪 - かみ,place,ところ - 所,near future,こんど - 今度,someone younger,としした - 年下
one o'clock,いちじ,vegetable,やさい,school,がっこう - 学校,supermarket,スーパー,hot (weather),あつい - 暑い,to play; to spend time pleasantly,あそぶ - 遊ぶ,mouth,口 - くち,tomato,トマト,last month,せんげつ - 先月,station,えき - 駅
half,はん-半,umbrella,かさ,cafe,カフェ,bus stop,バステい,cold (weather),さむい - 寒い,to hurry,いそぐ - 急ぐ,eye,目 - め,chopsticks,(お)はし,last year,きょねん - 去年,"Shinkansen; ""Bullet Train""",しんかんせん - 新幹線
half-past two,にじはん,bag,かばん,tomorrow,あした - 明日,hospital,びょういん - 病院,hot (thing),あつい - 熱い,to return (a thing),かえす - 帰す,glasses,めがね - 眼鏡,party,パーティー,blue,あおい - 青い,subway,ちかてつ - 地下鉄
Japan,にほん,shoes,くつ,today,きょう - 今日,hotel,ホテル,busy (people/days),いそがしい - 忙しい,to turn off; to erase,けす - 消す,song,歌 - うた,barbecue, バーベキュー,red,あかい - 赤い,ship; boat,ふね - 船
U.S.A,アメリカ,wallet,さいふ,morning,あさ - 朝,bookstore,ほんや - 本屋,large,おおきい - 大きい,to die,しぬ - 死ぬ,club activity (university students),サークル,homestay; living with a local family,ホームステイ,black,くろい - 黒い,airplane,ひこうき - 飛行機
...language,~ご,jeans,ジーンズ,tonight,こんばん - 今晩,town; city,まち - 街,small,ちいさい - 小さい,to sit down,すわる - 座る,car,車 - くるま,bath,おふろ - お風呂,white,しろい - 白い,reservation,よやく - 予約
Japanese language,にほんご,bicycle,じてんしゃ,every day,まいにち - 毎日,restaurant,レストラン,interesting; funny,おもしろい - 面白い,to stand up,たつ - 立つ,long,長い - ながい,Spain,スペイン,lonely,さびしい - 寂しい,tour, ツアー
